group,P1,P2,P3,P4,P5,P6,P7,type,action,period
1100,0,1,0,1,0,0,0,1,1,1
1100,1,0,1,1,0,0,0,0,0,1
1100,0,1,0,0,1,0,1,1,0,1
1100,1,1,0,0,0,1,0,0,0,1
1100,0,0,1,0,0,0,0,1,1,1
1100,0,0,0,1,0,0,0,1,1,1
1100,0,0,1,0,0,0,0,0,0,1
1200,0,0,0,0,0,1,0,1,1,1
1200,0,0,1,0,0,0,0,0,1,1
1200,0,1,0,0,0,1,1,1,0,1
1200,0,0,0,0,0,0,0,0,1,1
1200,0,0,0,0,0,0,0,1,1,1
1200,1,0,1,0,0,0,0,1,0,1
1200,0,0,1,0,0,0,0,0,0,1
1300,0,0,1,1,1,1,0,1,0,1
1300,0,0,0,0,0,0,0,0,0,1
1300,1,0,0,1,0,0,0,1,1,1
1300,1,0,1,0,0,0,0,0,1,1
1300,1,0,0,0,0,1,0,1,1,1
1300,1,0,0,0,1,0,0,1,0,1
1300,0,0,0,0,0,0,0,0,0,1
1400,0,0,0,0,0,0,0,1,0,1
1400,0,0,0,1,0,0,1,0,1,1
1400,0,0,0,0,0,0,1,1,0,1
1400,0,1,0,0,0,0,1,0,1,1
1400,0,0,0,0,0,0,1,1,1,1
1400,0,0,0,0,0,0,0,1,0,1
1400,0,1,1,1,1,0,0,0,1,1
1100,0,0,0,0,0,0,1,1,0,2
1100,0,0,0,0,0,0,0,0,0,2
1100,0,0,0,0,1,1,0,1,1,2
1100,0,0,0,0,0,1,1,0,0,2
1100,0,0,1,0,0,0,1,1,0,2
1100,0,0,1,1,0,0,0,1,1,2
1100,1,0,0,1,1,0,0,0,0,2
1200,0,0,1,1,1,0,0,1,0,2
1200,0,0,0,0,0,0,1,0,1,2
1200,1,0,0,0,0,0,1,1,1,2
1200,1,0,0,0,0,0,1,0,1,2
1200,1,0,0,0,0,0,0,1,0,2
1200,0,0,0,0,0,0,0,1,0,2
1200,0,1,1,1,0,0,0,0,1,2
1300,0,0,1,1,0,1,0,1,1,2
1300,0,0,0,0,0,0,0,0,1,2
1300,1,0,0,0,0,0,0,1,1,2
1300,1,0,0,0,0,1,0,0,1,2
1300,0,0,0,0,0,1,0,1,1,2
1300,1,0,0,1,1,0,1,1,1,2
1300,0,0,0,0,0,1,0,0,1,2
1400,0,0,0,0,1,0,1,1,1,2
1400,0,0,0,0,1,1,0,0,1,2
1400,0,0,0,0,1,0,0,1,0,2
1400,0,0,0,0,0,0,0,0,1,2
1400,1,1,1,0,0,0,0,1,0,2
1400,0,1,0,0,0,0,0,1,1,2
1400,1,0,0,0,0,0,0,0,0,2

